train_number,train_name,station_name,departure,source,destination
47154,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,07:55:00,NA,NA
56044,Thrissur Guruvayur Passenger,THRISUR,18:55:00,NA,NA
19269,Porbandar Muzaffarpur Express,PORBANDAR,15:05:00,NA,NA
58205,RAIPUR ITWARI PASS,RAIPUR JN,13:30:00,NA,NA
63542,Gomoh-Asansol MEMU,GOMOH JN,07:20:00,NA,NA
21068,Rai Bareli-Mumbai LTT Saket Express,RAE BARELI JN,16:15:00,NA,NA
56646,Subramanya Road Mangalore Passenger,Subrahmanya Road,13:25:00,NA,NA
56379,Ernakulam Alappuzha Passenger,ERNAKULAM JN,07:30:00,NA,NA
55145,Salempur Barhaj Passenger,SALEMPUR JN,18:40:00,NA,NA
51688,Bir Khandwa Shuttle,Bir,15:15:00,NA,NA
63596,Asansol-Bokaro Steel City MEMU,ASANSOL JN,17:50:00,NA,NA
52228,Tanakpur Aishbagh Express,Tanakpur,18:40:00,NA,NA
59227,Botad Bhavnagar Passenger,BOTAD JN,21:10:00,NA,NA
14523,Harihar Express,MUZAFFARPUR JN,07:25:00,NA,NA
58151,Birmitrapur Barsuan Passenger,Biramitrapur,07:10:00,NA,NA
59478,Patan Mehsana Passenger,PATAN,17:05:00,NA,NA
31929,Sealdah-Gede Local,KOLKATA SEALDAH,20:32:00,NA,NA
4857,Pipar Road -Jodhpur Passenger Special,PIPAR ROAD JN,06:50:00,NA,NA
53215,Buxar Mughal Sarai Passenger,BUXAR,09:15:00,NA,NA
38453,Howrah Panskura EMU,HOWRAH JN,17:50:00,NA,NA
53067,Barddhaman Rampurhat Passenger,BARDDHAMAN JN,17:35:00,NA,NA
12260,New Delhi-Sealdah AC Duronto Express,NEW DELHI,20:05:00,NA,NA
47128,Lingampalli Hyderabad MMTS,LINGAMPALLI,07:00:00,NA,NA
12720,HYDERABAD DECCAN - AJMER SF Exp,HYDERABAD DECCAN,20:30:00,NA,NA
56656,Kannur Passenger,MANGALORE CNTL,16:35:00,NA,NA
18002,Kandari Express,Digha Flag Station,18:20:00,Digha Flag Stn,Howrah Junction
13009,Doon Express,HOWRAH JN,20:35:00,Howrah Junction,Kotdwara
55792,Bxt Alipur Duar Passenger,NEW COOCH BEHAR,18:15:00,NA,NA
15051,Poorvanchal Express,KOLKATA CHITPUR,14:30:00,NA,NA
12389,GAYA - CHENNAI EGMORE SF Exp,GAYA JN,05:45:00,NA,NA
51606,Chirmiri Katni Passenger,Chirmiri,03:00:00,NA,NA
58653,Ranchi - Lohardaga - Barkichampi Passenger,RANCHI,09:30:00,NA,NA
51462,Belgaum Miraj Passenger,BELGAUM,06:00:00,NA,NA
51690,Bir Khandwa Shuttle,Bir,19:15:00,NA,NA
55549,Barauni-Hajipur Passenger,BARAUNI JN,22:40:00,NA,NA
59038,Surat Virar Passenger,SURAT,04:20:00,NA,NA
52523,Sakri Nirmali Passenger,SAKRI JN,02:00:00,NA,NA
9002,Ahmedabad Mumbai Central Superfast Special,AHMEDABAD JN,21:40:00,NA,NA
51609,Bina Guna Passenger,BINA JN,15:10:00,NA,NA
51198,Wardha Bhusaval Passenger,WARDHA JN,23:00:00,NA,NA
47124,Hyderabad Lingampalli MMTS,HYDERABAD DECCAN,21:20:00,NA,NA
56966,VASCO DA GAMA - KULEM Passenger,VASCO DA GAMA,17:30:00,NA,NA
12453,Ranchi-New Delhi Rajdhani Express,RANCHI,17:10:00,NA,NA
58525,Palasa Visakhapatnam Passenger,PALASA,09:00:00,NA,NA
15008,Krishak Express,LUCKNOW JN,23:05:00,NA,NA
56965,KULEM - VASCO DA GAMA Passenger,KULEM,17:15:00,NA,NA
51608,Guna Bina Passenger,GUNA,10:45:00,NA,NA
14659,Delhi-Jaisalmer Express,OLD DELHI,17:30:00,NA,NA
58844,Nagbhir Nagpur Passenger,Nagbhir Junction,06:15:00,NA,NA
9621,Ajmer Jaipur SF Special,AJMER JN,11:45:00,NA,NA
57200,Rajahmundry Vijayawada Passenger,RAJAMUNDRY,17:15:00,NA,NA
12719,AJMER - HYDERABAD DECCAN SF Exp,AJMER JN,17:40:00,NA,NA
57581,Akola Purna Passenger,AKOLA JN,06:00:00,NA,NA
11014,Coimbatore Mumbai LTT Express,COIMBATORE JN,08:00:00,NA,NA
47173,Lingampalli Falaknuma MMTS,LINGAMPALLI,06:20:00,NA,NA
57473,Secunderabad Bodhan Passenger,SECUNDERABAD JN,17:00:00,NA,NA
56878,Mayiladuthurai-Villupuram Passenger,MAYILADUTURAI JN,17:30:00,NA,NA
51751,Rewa Bilaspur Fast Passenger,REWA,21:00:00,NA,NA
53484,Rajmahal Tinpahar Passenger,Rajmahal,06:48:00,NA,NA
38419,Howrah Panskura EMU,HOWRAH JN,09:25:00,NA,NA
40001,Chennai Beach Tambaram EMU(12 Car),CHENNAI BEACH,04:20:00,NA,NA
2423,Dibrugarh Guwahati Rajdhani Express,DIBRUGARH TOWN,20:15:00,NA,NA
47155,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,09:10:00,NA,NA
52563,Agartala Silchar Passenger,Agartala,11:30:00,NA,NA
51431,Miraj -Londa Passenger,MIRAJ JN,06:10:00,NA,NA
11105,Pratham Swatantrata Sangram Express,KOLKATA CHITPUR,07:25:00,NA,NA
53522,Varanasi-Asansol Passenger,VARANASI JN,04:25:00,NA,NA
38464,Panskura Howrah EMU,PANSKURA,16:35:00,NA,NA
58020,Asansol Adra Passenger,ASANSOL JN,12:10:00,NA,NA
17209,BANGALORE - KAKINADA TOWN Seshadri Exp,BANGALORE CITY JN,13:20:00,NA,NA
55030,Lucknow Gonda Passenger,GORAKHPUR JN,18:25:00,NA,NA
52217,Kasganj Bareilly Passenger,Kasganj Mg,21:15:00,NA,NA
51419,Miraj Hubli Passenger,MIRAJ JN,07:30:00,NA,NA
12361,ASANSOL - MUMBAI CST SF Exp,ASANSOL JN,19:45:00,NA,NA
53030,Bhagalpur Azimganj Passenger,BHAGALPUR,04:50:00,NA,NA
51410,Shree Chatrapati Shahu M(T) Kolhapur- Pune Passenger,C SHAHU M RAJ KOLHAPUR TERM,04:45:00,NA,NA
59164,Vadtal Swaminarayan Anand Passenger,Vadtal Swaminarayan,11:20:00,NA,NA
12031,Amritsar Shatabdi Express,NEW DELHI,07:20:00,NA,NA
51425,ParliVaijnath-Miraj Passenger,PARLI VAIJNATH,07:10:00,NA,NA
52301,Balgona-Katwa Fast Local,Balgona,06:05:00,NA,NA
12412,AMRITSAR - CHANDIGARH Intercity SF Exp,AMRITSAR JN,00:00:00,NA,NA
12064,Una Chandigarh Haridwar Link Jan Shatabdi,Una Himachal,05:00:00,NA,NA
16861,Tiruturaipudi Karaikkudi Express,Tiruturaipudi Junction,05:15:00,NA,NA
54151,Fatehpur Kanpur Passenger,FATEHPUR,07:20:00,NA,NA
54051,Ludhiana Firozpur Passenger,LUDHIANA JN,10:05:00,NA,NA
53421,JAMALPUR KIUL PASS,JAMALPUR JN,07:30:00,NA,NA
58423,Bhadrak Cuttack Passenger,BHADRAKH,14:10:00,NA,NA
53138,Barharwa- Rampurhat Passenger,BARHARWA JN,09:50:00,NA,NA
54806,Ajmer Ahmedabad Passenger,AJMER JN,10:15:00,NA,NA
16865,Tea Garden Express,Nagore,16:30:00,NA,NA
18241,Durg Ambikapur Express,DURG,20:10:00,NA,NA
83112,Danapur Giridih Express,DANAPUR,19:00:00,NA,NA
55539,Katihar Hajipur Passenger,KATIHAR JN,04:00:00,NA,NA
12062,Jabalpur-HabibGanj Bhopal Jan Shatabdi,JABALPUR,06:00:00,NA,NA
19943,UDAIPUR - AHMEDABAD Exp,UDAIPUR CITY,19:25:00,NA,NA
15604,Ledo Guwahati Intercity Express,Ledo,15:15:00,NA,NA
19303,InterCity Express,RATLAM JN,06:00:00,NA,NA
12070,Gondia-Raigarh Jan Shatabdi,GONDIA JN,15:00:00,NA,NA
15769,Alipurduar Lumding Express,ALIPUR DUAR JN,04:00:00,NA,NA
15038,Kasganj Kanpur Express,KASGANJ,12:00:00,NA,NA
59214,Porbandar Bhanvad Passenger,PORBANDAR,05:10:00,NA,NA
12068,Jorhat Guwahati Jan Shatabdi,Jorhat Town,13:55:00,NA,NA
52457,Kalka Shimla Passenger,Kalka,04:00:00,NA,NA
51407,Miraj-Kolhapur Passenger,MIRAJ JN,16:55:00,NA,NA
12839,Howrah Chennai Superfast Mail,HOWRAH JN,23:45:00,NA,NA
12069,Raigarh-Gondia Jan Shatabdi,RAIGARH,06:25:00,NA,NA
29060,Surat InterCity Express,HAPA,04:55:00,NA,NA
51408,Kolhapur Miraj Passenger,C SHAHU M RAJ KOLHAPUR TERM,21:30:00,NA,NA
51451,Pune-Daund- Baramati Passenger,PUNE JN,07:10:00,NA,NA
12071,Mumbai Aurangabad Jan Shatabdi,MUMBAI CST,13:50:00,NA,NA
57139,Dornakal Manuguru Passenger,DORNAKAL JN,03:00:00,NA,NA
51409,Pune -Shree Chatrapati Shahu M(T) Kolhapur Pass,PUNE JN,09:15:00,NA,NA
40524,Chengulpet Chennai Beach EMU,CHENGALPATTU,08:35:00,NA,NA
12022,Barbil Howrah Janshatabdi,Barbil,13:45:00,NA,NA
38433,Howrah Panskura EMU,HOWRAH JN,13:05:00,NA,NA
15275,Saharsa-Barauni Express,SAHARSA JN,18:00:00,NA,NA
17639,KACHEGUDA - AKOLA Intercity Exp,KACHEGUDA,07:30:00,NA,NA
12058,Una-New Delhi Janshatabdi,Una Himachal,05:00:00,NA,NA
56645,Kabakaputtur Passenger,MANGALORE CNTL,18:20:00,NA,NA
59318,Ujjain Nagda Passenger,UJJAIN JN,07:20:00,NA,NA
53050,Mokameh Howrah Passenger,MOKAMEH JN,12:10:00,NA,NA
12080,Hubli Bangalore Janshatabdi,HUBLI JN,14:00:00,NA,NA
12370,Kumbh Express,HARIDWAR JN,23:55:00,NA,NA
19915,Mahesana Ahmedabad InterCity,MAHESANA JN,18:15:00,NA,NA
55607,Guwahati Silghat Town Passenger,GUWAHATI,15:45:00,NA,NA
11067,MUMBAI LTT - FAIZABAD Saket Exp,LOKMANYA TILAK TERM,05:20:00,NA,NA
52982,Mhow Indore MG Fast Passenger,Mhow,16:20:00,NA,NA
59356,Mathura Ratlam Passenger,MATHURA JN,05:15:00,NA,NA
16206,Mysore - Talguppa Intercity Express,MYSORE JN,06:00:00,NA,NA
19772,Amritsar - Jaipur Express,AMRITSAR JN,14:30:00,NA,NA
12919,Malwa Express,INDORE JN BG,12:25:00,Indore Junction Bg,Jammu Tawi
22855,Santragachi-Tirupati Superfast Express,SANTRAGACHI JN,16:05:00,NA,NA
17640,AKOLA - KACHEGUDA Intercity Exp,AKOLA JN,09:30:00,NA,NA
52225,Pilibhit Lakhimpur Passenger,PILIBHIT JN,22:00:00,NA,NA
47158,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,12:05:00,NA,NA
12957,Ahmadabad-New Delhi Swarna Jayanti Rajdhani Expres,AHMEDABAD JN,17:45:00,NA,NA
17206,Kakinada-Sainagar Shirdi Express,KAKINADA TOWN,06:15:00,NA,NA
13185,Ganga Sagar Express,KOLKATA SEALDAH,15:40:00,NA,NA
64094,Nizamuddin Parikrama,SHAKURBASTI,08:30:00,NA,NA
59298,Veraval Porbandar Passenger,VERAVAL,16:10:00,NA,NA
52467,Kangra Valley Rail Passenger,PATHANKOT,13:20:00,NA,NA
11038,GORAKHPUR - PUNE Exp,GORAKHPUR JN,15:30:00,NA,NA
51434,Pandharpur Nizamabad Passenger,PANDHARPUR,06:00:00,NA,NA
51350,Daund-Pune Fast Shuttle,DAUND JN,07:05:00,NA,NA
47160,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,13:25:00,NA,NA
12214,Delhi Sarai Rohilla-Yesvantpur AC Duronto Express,DELHI SARAI ROHILLA,23:00:00,NA,NA
12725,Siddhaganga Intercity Express,BANGALORE CITY JN,13:00:00,NA,NA
57427,Raichur Guntakal Passenger,RAICHUR,07:55:00,NA,NA
58814,Itwari Ramtek Passenger,ITWARI,12:00:00,NA,NA
12390,CHENNAI EGMORE - GAYA SF Exp,CHENNAI EGMORE,07:30:00,NA,NA
56336,Kollam Punalur Passenger,KOLLAM JN,11:00:00,NA,NA
56839,Jolarpettai Erode Passenger,JOLARPETTAI,15:20:00,NA,NA
51421,Pune-Nizamabad Pass,PUNE JN,14:25:00,NA,NA
12078,Vijayawada Chennai Jan Shatabdi,VIJAYAWADA JN,14:35:00,NA,NA
12411,CHANDIGARH - AMRITSAR Intercity SF Exp,CHANDIGARH,00:00:00,NA,NA
41507,Chennai Beach Velachery Sunday EMU,CHENNAI BEACH,07:00:00,NA,NA
56826,Tirnunelveli Erode Passenger,TIRUNELVELI,05:25:00,NA,NA
18205,Durg -Nautanwa Express,DURG,19:40:00,NA,NA
53412,Sahibganj Barharwa Passenger,SAHIBGANJ JN,12:10:00,NA,NA
51406,Castle Rock Miraj Passenge,CASTLE ROCK,05:50:00,NA,NA
51435,Pune Satara Passenger,PUNE JN,17:05:00,NA,NA
18190,Allapuzha Dhanbad Slip Express,ALLEPPEY,00:00:00,NA,NA
58008,Jajpur Keonjhar kharagpur,JAJPUR KEONJHAR ROAD,05:45:00,NA,NA
15216,Narkatiaganj-Muzaffarpur Express,NARKATIAGANJ JN,13:20:00,NA,NA
53206,Buxar Patna Passenger,BUXAR,12:05:00,NA,NA
12641,KANYAKUMARI - D H NIZAMUDDIN Thirukkural Exp,KANYAKUMARI,19:15:00,NA,NA
63231,Patna Buxar Passenger DMU,PATNA JN,19:35:00,NA,NA
58210,Bilaspur Gevra Passenger,BILASPUR JN,07:35:00,NA,NA
18235,Bilaspur Express Cum Passenger,BHOPAL JN,08:00:00,NA,NA
54803,JODHPUR - AHMEDABAD Passenger,JODHPUR JN,08:45:00,NA,NA
56237,Mysore Bangalore (PUSH-PULL) Passenger,MYSORE JN,14:25:00,NA,NA
17302,Dharwad Mysore Express,DHARWAR,20:45:00,NA,NA
51436,Satara Pune Passenger,SATARA,04:15:00,NA,NA
54050,ROHTAK - JIND PASSENGER,JIND JN,16:00:00,NA,NA
51463,Miraj Belgaum Passenger,MIRAJ JN,19:00:00,NA,NA
58815,Itwari Tirodi Passenger,ITWARI,13:05:00,NA,NA
51417,Karjat Pune Passenger,KARJAT,15:25:00,NA,NA
18623,Hatia Express Slip,RAJENDRA NAGAR BIHAR,21:20:00,NA,NA
51429,Sangli-Kolhapur Passenger,SANGLI,20:35:00,NA,NA
51405,Miraj- Castle Rock Passenger,MIRAJ JN,17:25:00,NA,NA
55914,Tinsukia Jorhat Town Passenger,Tinsukia Junction,14:15:00,NA,NA
12584,DELHI ANAND VIHAR T - LUCKNOW DOUBLE DECKER,ANAND VIHAR TRM,00:00:00,NA,NA
51464,Belgaum Miraj Passenger,BELGAUM,14:30:00,NA,NA
58701,Shahdol Ambikapur Passenger,SHAHDOL,13:30:00,NA,NA
12439,RANCHI - NEW DELHI Rajdhani Exp,RANCHI,17:55:00,NA,NA
14318,DEHRADUN - INDORE Exp,DEHRADUN,06:00:00,NA,NA
41119,Chennai Beach Velachery EMU,CHENNAI BEACH,19:15:00,NA,NA
12808,Samata Express,DELHI H NIZAMUDDIN,08:40:00,NA,NA
52501,BhikhnaThori Narkatiaganj Passenger,Bhikhna Thori,05:35:00,NA,NA
18602,Jammu Tawi-Rourkela Express,MURI,08:20:00,NA,NA
59393,Dahod Habibganj Fast Pass,DAHOD,05:45:00,NA,NA
56506,Marikuppam Bangarapet Passenger,Marikuppam,09:50:00,NA,NA
59421,Rajkot Veraval Passenger,RAJKOT JN,07:50:00,NA,NA
54802,AJMER - JODHPUR Fast Passenger,AJMER JN,14:30:00,NA,NA
58870,Jabalpur Balaghat Passenger,JABALPUR,22:20:00,NA,NA
54805,Ahmedabad Ajmer Passenger,AHMEDABAD JN,23:15:00,NA,NA
56241,Salem Yesvantpur passenger,SALEM JN,05:20:00,NA,NA
12583,LUCKNOW - DELHI ANAND VIHAR T DOUBLE DECKER,LUCKNOW JN,00:00:00,NA,NA
59547,Ahmedabad Okha Passenger,AHMEDABAD JN,12:00:00,NA,NA
57453,Bellary Guntakal Passenger,BELLARY JN,14:50:00,NA,NA
53004,Malda Howrah Fast Passenger,MALDA TOWN,17:15:00,NA,NA
58861,Nainpur Mandla Fort Passenger,Nainpur Junction,17:40:00,NA,NA
12850,Pune Bilaspur Superfast Express,PUNE JN,17:40:00,NA,NA
53616,GAYA JAMALPUR PASS,GAYA JN,13:50:00,NA,NA
57606,Vikarabad Secunderabad,VIKARABAD JN,10:55:00,NA,NA
54820,JODHPUR - JAISALMER PASSENGER,JODHPUR JN,08:30:00,NA,NA
51455,Pune Solapur Passenger,PUNE JN,22:50:00,NA,NA
12866,Lalmati Express,PURULIA JN,14:45:00,Purulia Junction,Howrah Junction
12489,Bikaner-Dadar Express,BIKANER JN,13:50:00,NA,NA
12451,Shram Shakti Express,KANPUR CENTRAL,23:45:00,NA,NA
53213,Buxar Mughal Sarai Passenger,BUXAR,04:00:00,NA,NA
54631,Dhuri Jakhal Hisar Passenger,Hisar,17:30:00,NA,NA
58840,Jabalpur Nir Nagpur Passenger,JABALPUR,20:30:00,NA,NA
12581,Pune Bhubaneshwar Express,PUNE JN,11:15:00,NA,NA
16516,Karwar-Yeshvantpur Express,KARWAR,05:30:00,NA,NA
53156,LGL Ranaghat Passenger,Lalgola,17:40:00,NA,NA
54332,Balamu Lucknow Passenger,BALAMU JN,07:50:00,NA,NA
55321,MORADABAD  - RAMNAGAR PASSENGER,MORADABAD,07:10:00,NA,NA
54336,Kanpur Balamau Passenger,KANPUR CENTRAL,15:25:00,NA,NA
56045,Nagercoil Cape Passenger,NAGERCOIL JN,16:00:00,NA,NA
59389,Indore-Bhopal Fast Passenger,INDORE JN BG,23:45:00,NA,NA
19024,Firozpur Mumbai Janata Express,FIROZPUR CANT,04:30:00,NA,NA
51430,C Shahu Maharaj Sangli Passenger,C SHAHU M RAJ KOLHAPUR TERM,18:35:00,NA,NA
51285,Bhusaval Nagpur Passenger,BHUSAVAL JN,19:30:00,NA,NA
51605,Katni Chirmiri Passenger,KATNI,16:30:00,NA,NA
52238,AISHBAGH - PILIBHIT PASS,AISHBAGH,00:00:00,NA,NA
54821,Jodhpur Bhildi Passenger,JODHPUR JN,06:35:00,NA,NA
56861,Villupuram-Puducherry Passenger,VILLUPURAM JN,06:35:00,NA,NA
51458,Dharwad hubli Passenger,DHARWAR,21:00:00,NA,NA
16724,TRIVANDRUM - CHENNAI EGMORE Anantapuri Exp,TRIVANDRUM CENTRAL,16:20:00,NA,NA
16381,Mumbai CST - Kanyakumari Express,MUMBAI CST,15:45:00,NA,NA
55159,Aunrihar- Jaunpur Passenger,AUNRIHAR JN,15:20:00,NA,NA
57381,Guntur Narasapur Fast Passenger,GUNTUR JN,16:35:00,NA,NA
14317,INDORE - DEHRADUN Exp,INDORE JN BG,15:05:00,NA,NA
57307,Secunderabad Medchal Suburban,SECUNDERABAD JN,11:35:00,NA,NA
16862,Karaikkudi Tiruturaipudi Express,Karaikkudi Junction,17:45:00,NA,NA
12989,Dadar Ajmer Superfast Express,MUMBAI DADAR WEST,14:35:00,NA,NA
12634,KANNIYAKUMARI - CHENNAI EGMORE SF Exp,KANYAKUMARI,17:20:00,NA,NA
19020,Dehradun - Bandra Terminus Express,DEHRADUN,10:40:00,NA,NA
51411,Bellary-Dharwar Passenger,BELLARY JN,14:20:00,NA,NA
40601,Chennai Beach Chengulpet EMU,CHENNAI BEACH,03:55:00,NA,NA
55304,KATHGODAM - MORADABAD Pass,KATHGODAM,16:15:00,NA,NA
51423,Igatpuri Manmad Shuttle,IGATPURI,18:10:00,NA,NA
59101,Vadodara Kathana Passenger,VADODARA JN,16:05:00,NA,NA
54075,Sitapur Delhi Passenger,SITAPUR CITY,14:40:00,NA,NA
55322,RAMNAGAR - VARANASI Passenger,RAMNAGAR,20:50:00,NA,NA
12104,Lucknow Jn - Pune Express,LUCKNOW JN,06:30:00,NA,NA
57254,Vijayawada Bhadrachalam Passenger,VIJAYAWADA JN,08:00:00,NA,NA
40009,Chennai Beach Tambaram EMU(12 Car),CHENNAI BEACH,07:22:00,NA,NA
24227,Varuna Express,VARANASI JN,04:55:00,Varanasi Junction,Kanpur Central
40031,Chennai Beach TambaramEMU (12 car),CHENNAI BEACH,09:07:00,NA,NA
54252,Saharanpur Lucknow Passenger,SAHARANPUR,08:20:00,NA,NA
56318,Nagercoil Kochuveli Passenger,NAGERCOIL JN,07:55:00,NA,NA
52569,Karimganj Dullabcherra Passenger,Karimganj Junction,16:45:00,NA,NA
43553,Arakkonam Tiruttani EMU,ARAKKONAM,05:10:00,NA,NA
15283,Janaki Express,SAHARSA JN,23:15:00,NA,NA
15322,Kapilavastu Express,GONDA JN,09:55:00,NA,NA
16094,Lucknow Chennai Express,LUCKNOW JN,16:20:00,NA,NA
40704,Tirumalpur Chennai Beach Fast EMU,TIRUMALPUR,07:05:00,NA,NA
54388,Kotdwara Najibabad Pass,KOTDWARA,12:40:00,NA,NA
51433,Nizamabad Pandharpur Passenger,NIZAMABAD,13:20:00,NA,NA
11097,PUNE - ERNAKULAM Poorna Exp,PUNE JN,23:10:00,NA,NA
52327,Forbesganj-Saharsa Passenger,FORBESGANJ,18:15:00,NA,NA
17401,Tirupati-Machilipatnam Express,TIRUPATI MAIN,19:40:00,NA,NA
14731,Delhi Bhatinda Intercity Express,OLD DELHI,14:15:00,NA,NA
16610,Coimbatore-Nagercoil Express,COIMBATORE JN,20:30:00,NA,NA
53485,Tinpahar Rajmahal Pass,TINPAHAR JN,13:47:00,NA,NA
56141,Coonoor Udagamandalam Passenger,Coonoor,07:45:00,NA,NA
58813,Ramtek itwari Passenger,Ramtek,14:00:00,NA,NA
57259,Bhimavaram Rajamundry Passenger,Bhimavaram Junction,14:45:00,NA,NA
56653,Kozhikode Kannur Passenger,KOZHIKODE,07:00:00,NA,NA
51195,Wardha Balharshah Passenger,WARDHA JN,07:15:00,NA,NA
53641,Dildarnagar Mughal Sarai Passenger,DILDARNAGAR JN,18:45:00,NA,NA
23040,Rajgir Howrah Passenger,Rajgir,16:05:00,NA,NA
51418,Pune Karjat Passenger,PUNE JN,10:35:00,NA,NA
54101,Allahabad Kanpur Passenger,ALLAHABAD JN,16:45:00,NA,NA
53517,MADHUPUR GIRIDIH PASS,MADHUPUR JN,16:20:00,NA,NA
53490,Rajmahal Tinpahar Passenger,Rajmahal,17:10:00,NA,NA
37355,Howrah-Tarakeswar Local,HOWRAH JN,10:20:00,NA,NA
53361,Barka Kana Varanasi Passenger,BARKAKANA,05:43:00,NA,NA
56913,Bangalore Hubli Fast Passenger,BANGALORE CITY JN,06:30:00,NA,NA
52549,Darjeeling Himalayan Toy Train,Darjeeling,13:20:00,NA,NA
54389,Najibabad Kotdwara Pass,NAJIBABAD JN,17:45:00,NA,NA
55022,Siwan Samastipur Intercity Passenger,SIWAN JN,04:20:00,NA,NA
51422,Nizamabad Pune Passenger,NIZAMABAD,23:40:00,NA,NA
55044,Nautanwa Gorakhpur Passenger,Nautanwa,06:15:00,NA,NA
19311,Pune Indore Express,PUNE JN,15:20:00,Pune Junction,Indore Junction Bg
13146,Radhikapur Express,Radhikapur,17:50:00,Radhikapur,Kolkata
59396,Chhindwara Amla Passenger,Chhindwara Junction,08:00:00,NA,NA
53036,Barharwa Azimganj Passenger,BARHARWA JN,03:45:00,NA,NA
30145,BBD Bag-Krishnanagar Local,BENOY BADAL DINESH GARDENS,08:53:00,NA,NA
55735,Katihar Jogbani Passenger,KATIHAR JN,06:15:00,NA,NA
53068,Rampurhat Barddhaman Passenger,RAMPUR HAT,09:30:00,NA,NA
58716,Dhamtari Telibandha Passenger,Dhamtari,18:10:00,NA,NA
15763,Balurghat-New Jalpaiguri Intercity Express,BALURGHAT,10:40:00,NA,NA
59026,Surat Fast Passenger,Amravati,09:00:00,Amravati,Surat
54293,Partapgarh Lucknow Passenger,PARTAPGARH JN,05:40:00,NA,NA
52571,Karimganj Dullabcherra Passenger,Kurseong,13:35:00,NA,NA
63549,Hazaribagh Road-Gaya Passenger,HAZARIBAGH ROAD,17:00:00,NA,NA
52935,Ahmedabad Botad Passenger,GANDHIGRAM,16:00:00,NA,NA
51702,REWA - JABALPUR PASSENGER,REWA,13:45:00,NA,NA
52929,Veraval Dhasa Passenger,VERAVAL,09:45:00,NA,NA
59811,Haldighati Passenger,RATLAM JN,08:45:00,Ratlam Junction,Agra Fort
56303,Ernakulam Alappuzha Passenger,ERNAKULAM JN,15:40:00,NA,NA
55752,Haldibari New Jalpaiguri Passenger,HALDIBARI,16:45:00,NA,NA
53342,Muri-Dhanbad Passenger,MURI,04:20:00,NA,NA
51428,C Shahu Maharaj Miraj Passenger,C SHAHU M RAJ KOLHAPUR TERM,10:50:00,NA,NA
57130,Hyderabad Bijapur Passenger,HYDERABAD DECCAN,19:50:00,NA,NA
40037,Chennai Beach TambaramEMU (12 car),CHENNAI BEACH,09:26:00,NA,NA
56037,Chennai Pondicherry Passenger,CHENNAI EGMORE,06:35:00,NA,NA
14520,Kisan Express,BHATINDA JN,06:55:00,Bhatinda Junction,Delhi
16732,Mysore-Tuticorin Express,MYSORE JN,18:00:00,NA,NA
54638,Jalandhar City Hoshiarpur DMU,JALANDHAR CITY,10:25:00,NA,NA
53022,Bhagalpur Azimganj Passenger,BHAGALPUR,11:40:00,NA,NA
53448,Bhagalpur Banka Passenger,BHAGALPUR,17:25:00,NA,NA
15772,Kamakhya-AlipurDuar Intercity Express,KAMAKHYA,16:30:00,NA,NA
52984,Mhow Fatehabad Fast Passenger,Mhow,13:10:00,NA,NA
19313,Indore-Patna Express,INDORE JN BG,14:00:00,NA,NA
54601,Hisar Amritsar Passenger,Hisar,22:30:00,NA,NA
55760,Katihar Manihari Pass,KATIHAR JN,16:45:00,NA,NA
56004,Chengalpattu Arakkonam Passenger,CHENGALPATTU,20:15:00,NA,NA
56707,Dindigul Madurai Passenger,DINDIGUL JN,07:55:00,NA,NA
19018,Saurashtra Janata Express,JAMNAGAR,13:40:00,NA,NA
12789,Rameswaram Kanyakumari SF Express,RAMESWARAM,20:45:00,NA,NA
54784,Rewari Fazilka Passenger,REWARI,04:40:00,NA,NA
55731,Katihar Barsoi Passenger,KATIHAR JN,21:15:00,NA,NA
52280,Chhapra-Thawe Passenger,CHHAPRA,01:45:00,NA,NA
40025,Chennai Beach TambaramEMU (12 car),CHENNAI BEACH,08:37:00,NA,NA
19944,AHMEDABAD - UDAIPUR Exp,AHMEDABAD JN,00:00:00,NA,NA
52219,Pilibhit Tanakpur Passenger,PILIBHIT JN,15:20:00,NA,NA
54824,Hissar Jodhpur passenger,Hisar,05:15:00,NA,NA
54156,Kanpur Manikpur Passenger,KANPUR CENTRAL,07:05:00,NA,NA
54225,Unchahar Raebareli Shuttle,Unchahar Junction,09:55:00,NA,NA
54078,Shajahanpur Passenger Slip Ex Bareilly,OLD DELHI,23:40:00,NA,NA
51461,Miraj Belgaum Passenger,MIRAJ JN,09:50:00,NA,NA
58433,Cuttack Berhampur Fast Passenger,CUTTACK,17:45:00,NA,NA
56308,Tiruvananthapuram Kollam Passenger,TRIVANDRUM CENTRAL,17:50:00,NA,NA
52558,Budhma Banmankhi Passenger,Budhma,06:25:00,NA,NA
56830,Rameswaram Trichy Passenger,RAMESWARAM,14:10:00,NA,NA
59602,Ajmer Beawar Passenger,AJMER JN,17:50:00,NA,NA
55333,KasGanj-AgraFort Passenger,KASGANJ,07:35:00,NA,NA
18609,RANCHI - MUMBAI LTT Exp,RANCHI,21:05:00,NA,NA
40055,Chennai Beach TambaramEMU,CHENNAI BEACH,10:30:00,NA,NA
