train_number,train_name,station_name,departure,source,destination
59104,Kathana Vadodara Passenger,Kathana,12:45:00,NA,NA
59703,Hisar Rewari Passenger,Hisar,06:20:00,NA,NA
55748,Haldibari Siliguri Passenger,HALDIBARI,07:30:00,NA,NA
12946,MAHUVA - SURAT SF Exp,MAHUVA JN,00:00:00,NA,NA
47146,Lingampalli Hyderabad MMTS,LINGAMPALLI,20:50:00,NA,NA
58010,Chakradharpur Adra Passenger,JAJPUR KEONJHAR ROAD,05:45:00,NA,NA
54264,Sultanpur Varanasi Passenger,SULTANPUR,06:35:00,NA,NA
52285,Thawe Chhapra Passenger,Thawe Junction,13:00:00,NA,NA
17643,Circar Express,CHENNAI EGMORE,17:20:00,Chennai Egmore,Kakinada Port
12542,Mumbai LTT-Gorakhpur SF Express,LOKMANYA TILAK TERM,11:10:00,NA,NA
12565,Bihar Sampark Kranti Express,DARBHANGA JN,08:35:00,NA,NA
57219,Guntur Macherla Passenger,GUNTUR JN,17:50:00,NA,NA
12559,Shiv Ganga Express,VARANASI JN,19:15:00,Manduadih,New Delhi
56618,Nilambur Shoranur Passenger,Nilambur Road,14:25:00,NA,NA
16177,Rock Fort Express,CHENNAI EGMORE,22:30:00,Chennai Egmore,Tiruchchirapali
16309,Ernakulam-Patna Express,ERNAKULAM JN,16:40:00,NA,NA
12553,Vaishali SF Express,BARAUNI JN,09:30:00,NA,NA
59714,Jaipur Phulera Passenger,JAIPUR,18:25:00,NA,NA
12122,DELHI H NIZAMUDDIN - JABALPUR S Kranti Exp,DELHI H NIZAMUDDIN,17:25:00,NA,NA
12483,KOCHUVELI - AMRITSAR SF Exp,KOCHUVELI,09:10:00,NA,NA
11065,MUMBAI LTT - DARBHANGA Pawan Exp,LOKMANYA TILAK TERM,12:15:00,NA,NA
55727,Katihar Radhikapur Passenger,KATIHAR JN,06:30:00,NA,NA
10104,MADGAON - MUMBAI CST Mandovi Exp,MADGAON,09:30:00,NA,NA
12028,BANGALORE CITY - CHENNAI CENT Shatabdi Exp,BANGALORE CITY JN,06:00:00,NA,NA
11466,JABALPUR - SOMNATH Exp (via Bina),JABALPUR,10:00:00,NA,NA
53645,Dildarnagar Tarighat Passenger,DILDARNAGAR JN,12:10:00,NA,NA
12101,MUMBAI LTT - HOWRAH Janeswari Super Deluxe Exp,LOKMANYA TILAK TERM,20:35:00,NA,NA
15630,GUWAHATI - CHENNAI EGMORE Exp,GUWAHATI,15:00:00,NA,NA
12224,ERNAKULAM - MUM LTT AC Duronto,ERNAKULAM JN,21:30:00,NA,NA
56909,Bangalore Hospet Passenger,BANGALORE CITY JN,22:15:00,NA,NA
15212,AMRITSAR - DARBHANGA Jan Nayak Exp,AMRITSAR JN,19:05:00,NA,NA
16501,Ahmedabad Bangalore Express,AHMEDABAD JN,18:00:00,NA,NA
11060,CHHAPRA - MUMBAI LTT Godan Exp,CHHAPRA,05:30:00,NA,NA
56145,Mettupalaiyam Coimbatore Passenger,Mettupalayam,08:15:00,NA,NA
11043,MUMBAI LTT - MADURAI Exp,LOKMANYA TILAK TERM,00:15:00,NA,NA
16613,RAJKOT - COIMBATORE Exp,RAJKOT JN,05:00:00,NA,NA
6948,Hubli Jn - Vasco Da Gama Link Express,HUBLI JN,23:00:00,NA,NA
56201,Chamrajnagar Mysore Passenger,CHAMARAJANAGAR,07:10:00,NA,NA
12189,JABALPUR - DELHI H NIZAMUDDIN Mahakoshal SF Exp,JABALPUR,18:10:00,NA,NA
14887,Kalka - Barmer Chandigarh Express,Kalka,21:45:00,NA,NA
9022,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),JAMMU TAWI,09:30:00,NA,NA
12887,Howrah-Puri Express,HOWRAH JN,20:55:00,NA,NA
56523,KSR BENGALURU CITY - HINDUPUR Passenger,BANGALORE CITY JN,18:40:00,NA,NA
